Area,Item,Year,Area_Harvested_ha,Production_ton,Yield_kg_ha
Albania,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",2022,171281.03645017848,290.25,12705.65079886103
Albania,Leeks and other alliaceous vegetables,2019,1531.0,36894.0,24098.0
Albania,Leeks and other alliaceous vegetables,2020,1484.0,36422.0,24543.1
Albania,Leeks and other alliaceous vegetables,2021,1526.0,36937.6,24202.3
Albania,Leeks and other alliaceous vegetables,2022,1550.0,39124.5,25248.1
Albania,Leeks and other alliaceous vegetables,2023,1743.0,46357.2,26596.2
Albania,Lemons and limes,2019,87.0,4075.0,46911.5
Albania,Lemons and limes,2020,65.0,4589.88,70613.5
Albania,Lemons and limes,2021,69.0,4910.7,71169.6
Albania,Lemons and limes,2022,85.0,5782.0,68023.5
Albania,Lemons and limes,2023,89.0,6038.79,68157.9
Albania,Lettuce and chicory,2019,1440.0,21502.0,14931.9
Albania,Lettuce and chicory,2020,1625.0,25155.0,15480.0
Albania,Lettuce and chicory,2021,1576.0,23619.5,14984.1
Albania,Lettuce and chicory,2022,1669.0,36379.0,21791.7
Albania,Lettuce and chicory,2023,1698.0,24889.45,14657.4
Albania,Mushrooms and truffles,2019,171281.03645017848,100.0,12705.65079886103
Albania,Mushrooms and truffles,2020,171281.03645017848,100.0,12705.65079886103
Albania,Mushrooms and truffles,2021,171281.03645017848,100.0,12705.65079886103
Albania,Mushrooms and truffles,2022,171281.03645017848,100.0,12705.65079886103
Albania,Mushrooms and truffles,2023,171281.03645017848,100.0,12705.65079886103
Albania,Oats,2019,15800.0,33382.0,2112.8
Albania,Oats,2020,15545.0,35579.0,2288.8
Albania,Oats,2021,15146.0,33082.0,2184.2
Albania,Oats,2022,15045.0,34157.0,2270.3
Albania,Oats,2023,14927.0,34422.5,2306.1
Albania,Okra,2019,696.0,8007.54,11502.7
Albania,Okra,2020,701.0,8121.39,11582.2
Albania,Okra,2021,723.0,8154.18,11275.4
Albania,Okra,2022,722.0,8094.37,11205.8
Albania,Okra,2023,722.0,8123.31,11257.2
Albania,Olives,2019,47136.0,98313.0,2085.7
Albania,Olives,2020,48102.0,131971.0,2743.6
Albania,Olives,2021,48723.0,110164.5,2261.0
Albania,Olives,2022,49476.0,157710.0,3187.6
Albania,Olives,2023,50404.0,117618.05,2333.5
Albania,Oranges,2019,233.0,11556.0,49596.6
Albania,Oranges,2020,239.0,12436.0,52033.5
Albania,Oranges,2021,240.0,12724.7,53019.6
Albania,Oranges,2022,240.0,14294.0,59558.3
Albania,Oranges,2023,246.0,14635.5,59615.1
Albania,Pears,2019,759.0,14107.0,18586.3
Albania,Pears,2020,776.0,14346.0,18487.1
Albania,Pears,2021,781.0,14243.7,18247.1
Albania,Pears,2022,794.0,14975.0,18860.2
Albania,Pears,2023,811.0,14762.58,18204.3
Albania,"Peas, green",2019,496.0,5456.0,11000.0
Albania,"Peas, green",2020,485.0,5727.0,11808.2
Albania,"Peas, green",2021,577.0,7856.1,13613.1
Albania,"Peas, green",2022,604.0,8782.0,14551.8
